topicId,title,content,category,goal
nutrition-dates-fiber,The Power of Dates,Breaking fast with dates provides quick energy and fiber to gently wake up digestion.,Nutrition,Start Iftar with 1–3 dates and water before your main meal.
nutrition-fiber-suhoor,Fiber Is Your Friend,Complex carbs and fiber at Suhoor digest slowly and reduce energy crashes later in the day.,Nutrition,"Add oats, chia, or whole grains to Suhoor."
nutrition-chew-slowly,Chew Slowly,"After a long fast, slower eating reduces bloating and improves digestion.",Nutrition,Put your fork down between bites at Iftar.
nutrition-protein-satiety,Prioritize Protein,Protein helps satiety and supports muscle maintenance during fasting days.,Nutrition,"Include eggs, yogurt, legumes, or lean protein at Suhoor."
nutrition-sugar-crash,Avoid the Sugar Crash,High-sugar foods at Iftar spike energy briefly and then cause fatigue.,Nutrition,Save sweets for later; break fast with balanced foods first.
nutrition-balanced-plate,Build a Balanced Plate,A balanced plate helps steady energy and keeps you satisfied longer.,Nutrition,"At Iftar, aim for half vegetables, a quarter protein, a quarter carbs."
nutrition-slow-carb,Choose Slow Carbs,Slow-digesting carbs release energy gradually through the fasting hours.,Nutrition,"Pick brown rice, quinoa, or sweet potato at Suhoor."
nutrition-omega-3,Omega-3 Support,Healthy fats support mood and reduce inflammation.,Nutrition,Add walnuts or chia to your meal today.
nutrition-veggie-variety,Color Your Plate,Vegetable variety improves micronutrient coverage and gut health.,Nutrition,Add at least 3 colors of veggies at Iftar.
nutrition-portion-reset,Portion Reset,Your hunger cues may be delayed after fasting—start small and pause.,Nutrition,"Serve half portions first, then reassess hunger."
nutrition-legumes,Lean on Legumes,Beans and lentils offer steady energy plus protein and fiber.,Nutrition,Add lentil soup or chickpeas to your meal.
nutrition-lean-protein,Lean Protein Focus,Lean protein helps recovery and reduces overeating later.,Nutrition,"Include chicken, fish, tofu, or eggs tonight."
nutrition-gentle-iftar,Gentle Iftar Start,A light start helps your stomach adjust after a long fast.,Nutrition,Begin with soup or a small snack before the main meal.
nutrition-protein-smoothie,Protein Smoothie Boost,A smoothie can deliver protein without feeling heavy late at night.,Nutrition,Blend yogurt or protein powder with fruit after Iftar.
nutrition-calcium,Calcium Support,Calcium supports muscle function and sleep quality.,Nutrition,"Include yogurt, kefir, or fortified milk tonight."
nutrition-iron,Iron-Rich Choices,"Iron supports energy and focus, which can dip while fasting.",Nutrition,"Add spinach, lentils, or lean red meat with vitamin C foods."
nutrition-vitamin-c,Vitamin C Pairing,Vitamin C helps iron absorption and supports immunity.,Nutrition,Add citrus or peppers to your meal.
nutrition-avoid-fried,Ease Up on Fried Foods,Heavy fried foods can cause sluggishness after Iftar.,Nutrition,Swap one fried item for grilled or baked tonight.
nutrition-night-snack,Smart Night Snack,"A small, balanced snack can prevent waking up overly hungry.",Nutrition,Try fruit with nuts or yogurt before bed.
nutrition-salt-balance,Salt Balance,Too much salt can increase thirst during the fasting hours.,Nutrition,Taste before salting your Iftar meal.
nutrition-prep-box,Prep a Suhoor Box,Preparation reduces skipped meals and energy dips.,Nutrition,Pack a ready-to-eat Suhoor in the fridge tonight.
nutrition-whole-foods,Whole Foods First,Whole foods provide steadier energy than ultra-processed snacks.,Nutrition,Choose one whole-food swap tonight.
nutrition-spice-digest,Gentle Spices,Mild spices can aid digestion without irritation.,Nutrition,Add cumin or ginger to your meal.
nutrition-breakfast-style,Breakfast-Style Suhoor,A balanced breakfast-style meal supports energy and alertness.,Nutrition,"Try eggs, whole grains, and fruit at Suhoor."
nutrition-veg-protein,Plant Protein,Plant proteins support fullness and gut health.,Nutrition,"Add tofu, tempeh, or beans to your meal."
nutrition-omega-6-balance,Fat Balance,Balanced fats support steady energy and mood.,Nutrition,Use olive oil and add nuts or seeds to your plate.
nutrition-fruit-fiber,Fruit for Fiber,Fruits offer hydration and fiber without heavy digestion.,Nutrition,Add berries or an orange after Iftar.
nutrition-soup-hydration,Soup First,Warm soup provides fluids and prepares the stomach for a main meal.,Nutrition,Start Iftar with a light broth or soup.
nutrition-avoid-overeating,Pause at 80%,Stopping before fully stuffed helps energy and digestion.,Nutrition,Pause for 5 minutes halfway through your meal.
nutrition-healthy-sauce,Sauce Smart,Heavy sauces can add hidden calories and sugar.,Nutrition,Choose lighter sauces or use less tonight.
nutrition-mindful-bites,Mindful Bites,Mindful eating improves satisfaction and reduces overeating.,Nutrition,"Take 10 slow, mindful bites at Iftar."
nutrition-gut-friendly,Gut-Friendly Foods,Fermented foods can support digestion and comfort.,Nutrition,"Add yogurt, kefir, or pickled veggies today."
nutrition-carb-timing,Carb Timing,Carbs later in the day may support better sleep for some people.,Nutrition,Include a modest portion of carbs at Iftar.
nutrition-potassium,Potassium Boost,Potassium helps hydration and muscle function.,Nutrition,"Add banana, potato, or leafy greens today."
nutrition-magnesium-foods,Magnesium Foods,Magnesium-rich foods support relaxation and sleep quality.,Nutrition,Add pumpkin seeds or almonds tonight.
nutrition-early-dinner,Early Dinner,Finishing dinner earlier can improve sleep quality.,Nutrition,Aim to finish your main meal by early evening.
nutrition-protein-break,Protein First,Starting with protein can steady blood sugar and appetite.,Nutrition,Begin Iftar with a protein-rich option.
nutrition-slow-eating,Slow Down at Iftar,Slower eating improves digestion and satiety cues.,Nutrition,Take at least 20 minutes for your meal.
wellbeing-midday-nap,Midday Power Nap,A 15–20 minute nap improves alertness during long days.,Well-being,Set a 20-minute timer for a power nap.
wellbeing-sleep-hygiene,Sleep Hygiene,A calm sleep routine improves deep rest on split schedules.,Well-being,Dim lights and avoid screens 30 minutes before sleep.
wellbeing-light-movement,Light Movement,Gentle movement supports circulation without draining energy.,Well-being,Do a 10–15 minute easy walk before Iftar.
wellbeing-stretching,Stretch Breaks,Short stretch breaks reduce fatigue and stiffness.,Well-being,Stretch your shoulders and hips for 3 minutes.
wellbeing-breathing,Calm Breathing,Slow breathing reduces stress and improves focus.,Well-being,Try 4–6 slow breaths before Iftar.
wellbeing-posture,Posture Reset,Better posture supports energy and digestion.,Well-being,Sit tall and relax your shoulders for 1 minute.
wellbeing-sunlight,Morning Sunlight,Morning light helps regulate your sleep cycle.,Well-being,Get 5–10 minutes of outdoor light today.
wellbeing-caffeine-timing,Caffeine Timing,Late caffeine can harm sleep quality.,Well-being,"If you drink caffeine, keep it early evening only."
wellbeing-quiet-time,Quiet Time,Short quiet breaks help reduce mental fatigue.,Well-being,Take a 5-minute quiet break today.
wellbeing-heat-care,Heat Management,Staying cool reduces dehydration risk.,Well-being,Use a fan or cool shower in the afternoon.
wellbeing-mobility,Mobility Minute,Gentle mobility keeps joints comfortable.,Well-being,Try 5 minutes of light mobility drills.
wellbeing-eye-rest,Eye Rest,Screen breaks reduce fatigue and headaches.,Well-being,Use the 20-20-20 rule this evening.
wellbeing-early-winddown,Early Wind-Down,A gentle wind-down helps you sleep deeper.,Well-being,Start winding down 30 minutes earlier tonight.
wellbeing-sleep-cool,Cool Sleep,A cooler room can improve sleep quality.,Well-being,Lower the temperature slightly before bed.
wellbeing-evening-walk,Evening Walk,A gentle walk after Iftar aids digestion.,Well-being,Take a 10-minute walk after your meal.
wellbeing-relax-ritual,Relax Ritual,A short ritual helps signal your body to relax.,Well-being,Try a warm shower or reading for 10 minutes.
